first	second	opt	dist	bytes
11011000111110010100101010001100100	11001110100101010110001110010010100	18	18	944470296
11011001110011010001100010111000100	11100011111001100010111000100101000	14	14	280199592
11101010011111001100001000110100100	10111111100001101000111100000101000	16	16	645490624
10111011000011011000111100001010100	11110110000111010010100100110100100	18	18	871682072
11100101100011110000110011001100100	11110010010100111001110001001011000	15	15	579520720
11011101001111000011001101000100100	11110001010011010011010110010010100	19	19	971650168
11110010011001001100111100011000100	11111001100110001001001111000100100	13	13	269676792
11101100010101111001000011001011000	11101001111010010111100000110100000	15	15	418039176
11111001001110011001001001010010100	11101100011111100110000101000100100	12	12	133122784
11111000101010010011101110000110000	11111000010011100100110011001100100	13	13	229312184
11100110011101000011110010010100100	11110010010110011001001010110010100	11	11	80107944
11110011001100011000111010011100000	11100100110100111011100100010100100	13	13	177939000
10110011111000001110011010001010100	11101101110100100010010101001110000	13	13	231282584
10110011110100100110010011100010100	11111000111001101000110011001001000	16	16	688315312
11110001010100101111010001100100100	11111000100100110011001110100011000	10	10	38988480
11111110100010011001000111000011000	11110110000111100001100011011000100	17	17	850630928
11110001111100000100110100111001000	11111000010110001101010100110011000	9	9	17211712
11111000111001001100010101001110000	11100110011000111001001110010010100	15	15	475845640
11100110001011100011100010111000100	11111000110101100110000111000010100	18	20	921933432
11111110001100001010011010001100100	11100011101100011010010011110010000	12	12	145606024
11111000001100111001100100101110000	11100101011001110010001100110011000	16	16	659343816
11110110010010011100100101101000100	11011010010011101011001001110000100	14	14	377762040
11101001111001100010100110001011000	11110011001010011001100101001110000	13	13	234247840
11110010101001101010001011100100100	11101001111000010010101011011000100	13	13	166365560
11110101000011100110001101010011000	11101101100010110001100010110011000	12	12	122306928
11100110001100111100100110010011000	11110101000111011100010000111001000	12	12	148878480
11110001100011100011110001010100100	11100100110101001100111100110100000	14	14	386491112
11100111111000100101000110101000100	11011101100010011000101111001000100	9	9	9873576
