first second opt dist central
11100010111111000101010010100010100 11011010101011000100110100111010000 20 22 25
11100011101011000100101110010110000 11011111001000111000100101010010100 21 21 25
11011111100001000011110001010101000 11100110001110110011001000110010100 19 19 25
11111100101001011000110000110110000 11011010010100111110100011001000100 21 21 23
10111110000100111110100010100101000 11110000111110011010010010010100100 19 19 24
11101100010111010000111000110010100 11101110101000011001001101001110000 20 20 26
11101100101101001001001110101001000 11010100101110111100100001100100100 21 21 26
11100011101111000001100100101100100 11011110010010001110011001101001000 22 22 26
10111100100100111100011110001000100 11001111000011001011100110100101000 20 20 26
11010011111000110010011001100010100 11001111100100111010011001001001000 17 17 24
11100110011001011001010011011000100 11011100010111000011100110100101000 20 20 22
11101001111100011010001010011010000 11110101000110011010010101001010100 19 19 24
11100100111101001010011000111100000 11011100110100001101110001100010100 20 20 25
11111101000110010011010000110011000 11001110001101011110001001001110000 21 23 25
10111101001000111110001100100101000 11001101111001000011100110010010100 21 21 24
11111000011110001010100100110010100 11011001100110001110010011110010000 19 19 24
11110111000110001111000010011000100 11100101001110001100110101001011000 20 21 24
11101001111001000111110100000011000 11111001100001100100110100111000100 19 19 24
11110101100010010100110100110011000 11011110010100110001010011100100100 21 21 25
11101100100101001011001101110000100 11100111000100110111100010001011000 18 18 24
11111001101000111000101001110010000 10111001110100101101000110010010100 22 22 24
